output_id,disease,model,blinded_output_id,score_definition,human_updated_DGQC,raw_mean_DGQC,expert_confirmed_CD,usable_draft,file_path,sha256,pages,pdf_title_metadata,topic_check
R2-D01-方案04,Abortion Care,Claude-Opus-4.7,D01-方案04,R2 locked adjudication-adjusted,56.81,56.81,no_main_discordant_sensitivity,no,outputs/direct_generation/Claude-Opus-4.7_Baseline/Abortion Care.pdf,a6748697f9b931f9de238bde30b522d8adb097fb9f7e54eda7db52b2ac6ca076,8,,pass
R2-D01-方案05,Abortion Care,Deepseek-v4,D01-方案05,R2 locked adjudication-adjusted,21.67,25.69,yes,no,outputs/direct_generation/Deepseek-v4_Baseline/Abortion Care.pdf,2f57e03c02371fbe948073894b78b8d36abee14fa8c773a1968e70fb58f75837,5,,pass
R2-D01-方案08,Abortion Care,Doubao-2.0-Pro,D01-方案08,R2 locked adjudication-adjusted,11.67,13.19,yes,no,outputs/direct_generation/Doubao-2.0-Pro_Baseline/Abortion Care.pdf,dfeb4afd21c42a8c4e35c9827f823c41850f77f29ddf25d7954f69cfddb5ed93,4,,pass
R2-D01-方案02,Abortion Care,GLM-5.1,D01-方案02,R2 locked adjudication-adjusted,28.75,28.89,yes,no,outputs/direct_generation/GLM-5.1_Baseline/Abortion Care.pdf,46284db498c323b782962d268948bf847ab463123a9c4612a2e88dfee471aded,5,,pass
R2-D01-方案06,Abortion Care,GPT-5.5,D01-方案06,R2 locked adjudication-adjusted,68.61,68.61,no,no,outputs/direct_generation/GPT-5.5_Baseline/Abortion Care.pdf,66d07d196b3c8f6227ea32c668dbad9f8faa9d94e88e4a6549c9b4b5d664fcc6,14,,pass
R2-D01-方案01,Abortion Care,Gemini-3.1-Pro,D01-方案01,R2 locked adjudication-adjusted,29.03,29.31,yes,no,outputs/direct_generation/Gemini-3.1-Pro_Baseline/Abortion Care.pdf,58741ad4b991ba1f1240497c31f44bb6dae6dd333f40ecffbf5a7882790d1bcf,4,,pass
R2-D01-方案07,Abortion Care,Qwen-3.6-Plus,D01-方案07,R2 locked adjudication-adjusted,18.33,17.92,yes,no,outputs/direct_generation/Qwen-3.6-Plus_Baseline/Abortion Care.pdf,5290be6e13888d2d833a5edda73fddf654799023617dfe221cbc672d93174b94,3,,pass
R2-D02-方案03,COVID-19,Claude-Opus-4.7,D02-方案03,R2 locked adjudication-adjusted,39.58,64.31,yes,no,outputs/direct_generation/Claude-Opus-4.7_Baseline/COVID-19.pdf,4cff05720349a005a179bd62fa46d162393a4ec0691b872dd9f8f42b6ac0420d,10,,pass
R2-D02-方案02,COVID-19,Deepseek-v4,D02-方案02,R2 locked adjudication-adjusted,31.67,38.47,yes,no,outputs/direct_generation/Deepseek-v4_Baseline/COVID-19.pdf,035e329b1d76fc0c8cb20a05549cd1ae7d1db5e50304c301b8caf6a112e864b7,6,,pass
R2-D02-方案06,COVID-19,Doubao-2.0-Pro,D02-方案06,R2 locked adjudication-adjusted,12.50,12.85,yes,no,outputs/direct_generation/Doubao-2.0-Pro_Baseline/COVID-19.pdf,3ace87c56884bfa6002907d395d3a2a9d20286db6a1f1543dac8967a933466a8,4,,pass
R2-D02-方案01,COVID-19,GLM-5.1,D02-方案01,R2 locked adjudication-adjusted,31.67,32.85,yes,no,outputs/direct_generation/GLM-5.1_Baseline/COVID-19.pdf,90f5f75c2531e03257c7ff80817a91ea88d7eb13bf0352029fd6f7a945d9c3f5,5,,pass
R2-D02-方案08,COVID-19,GPT-5.5,D02-方案08,R2 locked adjudication-adjusted,45.00,45.00,no,no,outputs/direct_generation/GPT-5.5_Baseline/COVID-19.pdf,8130128a1e8b360310197e49c4efbd59e52b98af36fdfd6f1e27369e302466b1,14,,pass
R2-D02-方案04,COVID-19,Gemini-3.1-Pro,D02-方案04,R2 locked adjudication-adjusted,24.17,25.42,yes,no,outputs/direct_generation/Gemini-3.1-Pro_Baseline/COVID-19.pdf,c280eb0b68da70393f839f987905cddb3b525907fd8819c8cca853d041fa6297,4,,pass
R2-D02-方案07,COVID-19,Qwen-3.6-Plus,D02-方案07,R2 locked adjudication-adjusted,10.00,10.35,yes,no,outputs/direct_generation/Qwen-3.6-Plus_Baseline/COVID-19.pdf,db1c8930ab0a4d046b6dda86613ac05351ef0fa81c647484387287208e5bcad8,3,,pass
R2-D03-方案01,HIV,Claude-Opus-4.7,D03-方案01,R2 locked adjudication-adjusted,34.58,47.01,yes,no,outputs/direct_generation/Claude-Opus-4.7_Baseline/HIV.pdf,c5adb416658274b88e011582597747dad11685345d18f2266202d20107f7732c,10,,pass
R2-D03-方案04,HIV,Deepseek-v4,D03-方案04,R2 locked adjudication-adjusted,29.17,32.15,yes,no,outputs/direct_generation/Deepseek-v4_Baseline/HIV.pdf,89a3cc624fed12ea42cfb8b0a305ab03c0ac585ffbe6bb2040bb0e7cfc81328b,7,,pass
