output_id,phase,disease_id,locked_disease_label,public_disease,blinded_output_id,score_definition,human_updated_DGQC,expert_confirmed_CD,usable_draft,file_path,sha256,pages,pdf_title_metadata,topic_check,known_note
R1-OpenSAGE-anaemia,Stage 1,R1D01,Anaemia,Anaemia,G02_Anaemia.pdf,R1 formal rerating,72.47,no,yes,outputs/opensage/Anaemia.pdf,e0f27883165c3ee24d90e1c865f06d89432945600611d1db6c33a5dc65ec1b51,17,,pass,
R1-OpenSAGE-anthrax,Stage 1,R1D02,Anthrax,Anthrax,G03_Anthrax.pdf,R1 formal rerating,76.81,no,yes,outputs/opensage/Anthrax.pdf,61a9d72f030eee044e493b290eba14d77b30655e8d79079940916d8e6d854e8a,12,Anthrax.md,pass,
R1-OpenSAGE-burns,Stage 1,R1D03,Burns,Burns,G04_Burns.pdf,R1 formal rerating,62.38,yes,no,outputs/opensage/Burns.pdf,9115eaa826196eb9aeff16e1e08a4a649f96e7bbc79a52053f545b4ab066049a,14,Burns.md,pass,
R1-OpenSAGE-cancer,Stage 1,R1D04,Cancer,Cancer,G06_Cancer.pdf,R1 formal rerating,58.83,yes,no,outputs/opensage/Cancer.pdf,685518e921ec5a569eb41c8a3148ab1701975bee4d82b6cd3d52e2b570996422,15,,pass,
R1-OpenSAGE-cardiovascular_disease,Stage 1,R1D05,Cardiovascular Disease,Cardiovascular Disease,G07_Cardiovascular Disease.pdf,R1 formal rerating,57.68,yes,no,outputs/opensage/Cardiovascular Disease.pdf,8aceb7c8904779dab1fd5496b1432f929c722f27e3b154b62911f32f1c10329d,10,,pass,
R1-OpenSAGE-chikungunya,Stage 1,R1D06,Chikungunya,Chikungunya,G08_Chikungunya.pdf,R1 formal rerating,80.15,no,yes,outputs/opensage/Chikungunya.pdf,36082a0e6521c737044da6432629b2f32b51a59304ee183ab5e5182363829267,13,,pass,
R1-OpenSAGE-child_health,Stage 1,R1D07,Child Health (IMCI),Child Health (IMCI),G09_Child Health (IMCI).pdf,R1 formal rerating,72.84,no,yes,outputs/opensage/Child Health (IMCI).pdf,ff6d3b1a5ebd29e512b6fb0507d4381b64cab6f0be051b1fe14687b968acca5c,13,,pass,
R1-OpenSAGE-dengue,Stage 1,R1D08,Dengue,Dengue,G10_Dengue.pdf,R1 formal rerating,82.37,no,yes,outputs/opensage/Dengue.pdf,1c527f892ddf9032b6309aebe7a8ea6bb11e6d3450b788a40919c7f404d05f2b,12,,pass,
R1-OpenSAGE-diabetes,Stage 1,R1D09,Diabetes,Diabetes,G11_Diabetes.pdf,R1 formal rerating,64.05,yes,no,outputs/opensage/Diabetes.pdf,d9ed98ab9a1b5b3b5794e4822cb62dddbbc41a7b97a0ce70c871398d7b17dc47,12,,pass,
R1-OpenSAGE-diphtheria,Stage 1,R1D10,Diphtheria,Diphtheria,G12_Diphtheria.pdf,R1 formal rerating,81.81,no,yes,outputs/opensage/Diphtheria.pdf,a5558946e583d625a8eb180e9a0eb906172c6defbd4b16f5b107603f502a6a82,11,,pass,
