Omitted disease,n diseases,Mean difference,BCa 95% CI,Exact paired permutation P
Abortion Care,9,42.94,39.07 to 46.09,0.00391
COVID-19,9,42.05,38.55 to 45.44,0.00391
HIV,9,42.46,38.73 to 45.91,0.00391
Infertility,9,41.70,38.37 to 44.64,0.00391
Malaria,9,42.16,38.59 to 45.58,0.00391
Maternal Health,9,43.42,40.00 to 46.24,0.00391
Meningitis,9,41.89,38.48 to 45.15,0.00391
Mental Health Disorders,9,42.50,38.75 to 45.92,0.00391
Substance Use Disorders,9,43.45,40.11 to 46.25,0.00391
Tuberculosis,9,42.84,38.94 to 46.05,0.00391
