Output ID,Phase,Disease ID,Disease,Blinded output ID,Final DGQC score,Expert-confirmed CD,Usable draft
R1-OpenSAGE-anaemia,Stage 1,R1D01,Anaemia,G02_Anaemia.pdf,72.47,no,yes
R1-OpenSAGE-anthrax,Stage 1,R1D02,Anthrax,G03_Anthrax.pdf,76.81,no,yes
R1-OpenSAGE-burns,Stage 1,R1D03,Burns,G04_Burns.pdf,62.38,yes,no
R1-OpenSAGE-cancer,Stage 1,R1D04,Cancer,G06_Cancer.pdf,58.83,yes,no
R1-OpenSAGE-cardiovascular_disease,Stage 1,R1D05,Cardiovascular Disease,G07_Cardiovascular Disease.pdf,57.68,yes,no
R1-OpenSAGE-chikungunya,Stage 1,R1D06,Chikungunya,G08_Chikungunya.pdf,80.15,no,yes
R1-OpenSAGE-child_health,Stage 1,R1D07,Child Health (IMCI),G09_Child Health (IMCI).pdf,72.84,no,yes
R1-OpenSAGE-dengue,Stage 1,R1D08,Dengue,G10_Dengue.pdf,82.37,no,yes
R1-OpenSAGE-diabetes,Stage 1,R1D09,Diabetes,G11_Diabetes.pdf,64.05,yes,no
R1-OpenSAGE-diphtheria,Stage 1,R1D10,Diphtheria,G12_Diphtheria.pdf,81.81,no,yes
R1-OpenSAGE-dracunculiasis,Stage 1,R1D11,Dracunculiasis,G13_Dracunculiasis.pdf,70.38,no,yes
R1-OpenSAGE-ebola,Stage 1,R1D12,Ebola,G14_Ebola.pdf,80.29,no,yes
R1-OpenSAGE-echinococcosis,Stage 1,R1D13,Echinococcosis,G15_Echinococcosis.pdf,80.17,no,yes
R1-OpenSAGE-fascioliasis,Stage 1,R1D14,Fascioliasis,G16_Fascioliasis.pdf,60.77,yes,no
R1-OpenSAGE-filariasis,Stage 1,R1D15,Filariasis,G17_Filariasis.pdf,70.56,no,yes
R1-OpenSAGE-hepatitis,Stage 1,R1D16,Hepatitis,G19_Hepatitis.pdf,75.93,no,yes
R1-OpenSAGE-hypertension,Stage 1,R1D17,Hypertension,G20_Hypertension.pdf,82.08,no,yes
R1-OpenSAGE-influenza,Stage 1,R1D18,Influenza,G22_Influenza.pdf,82.16,no,yes
R1-OpenSAGE-injury,Stage 1,R1D19,Injury,G23_Injury.pdf,54.25,yes,no
R1-OpenSAGE-leishmaniasis,Stage 1,R1D20,Leishmaniasis,G24_Leishmaniasis.pdf,74.19,no,yes
R1-OpenSAGE-leprosy,Stage 1,R1D21,Leprosy,G25_Leprosy.pdf,79.42,no,yes
R1-OpenSAGE-loa_loa,Stage 1,R1D22,Loa Loa,G26_Loa Loa.pdf,60.11,no,no
